,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14164,14164,14164,-123.0197678,48.56963348,56,14219,washington,NA,WA,Pacific
14165,14165,14165,-123.0541534,48.61547089,56,14220,washington,NA,WA,Pacific
14166,14166,14166,-123.0942535,48.6097374,56,14221,washington,NA,WA,Pacific
14167,14167,14167,-123.0942535,48.58108902,56,14222,washington,NA,WA,Pacific
14168,14168,14168,-123.1171646,48.56389999,56,14223,washington,NA,WA,Pacific
14169,14169,14169,-123.1114426,48.53525543,56,14224,washington,NA,WA,Pacific
14170,14170,14170,-123.0885162,48.50087738,56,14225,washington,NA,WA,Pacific
14171,14171,14171,-123.0656128,48.48368835,56,14226,washington,NA,WA,Pacific
14172,14172,14172,-123.0426865,48.47795868,56,14227,washington,NA,WA,Pacific
14173,14173,14173,-123.0083084,48.47795868,56,14228,washington,NA,WA,Pacific
14174,14174,14174,-122.9624786,48.43785095,56,14229,washington,NA,WA,Pacific
14175,14175,14175,-122.9395523,48.45504379,56,14230,washington,NA,WA,Pacific
14176,14176,14176,-122.9682007,48.49514771,56,14231,washington,NA,WA,Pacific
14177,14177,14177,-122.9395523,48.51806641,56,14232,washington,NA,WA,Pacific
14178,14178,14178,-122.9682007,48.53525543,56,14233,washington,NA,WA,Pacific
14179,14179,14179,-122.9853973,48.54671478,56,14234,washington,NA,WA,Pacific
14180,14180,14180,-123.0197678,48.56963348,56,14235,washington,NA,WA,Pacific
14181,14181,14181,-122.8249588,48.4034729,57,14237,washington,NA,WA,Pacific
14182,14182,14182,-122.7963104,48.40920639,57,14238,washington,NA,WA,Pacific
14183,14183,14183,-122.767662,48.40920639,57,14239,washington,NA,WA,Pacific
14184,14184,14184,-122.7562027,48.43785095,57,14240,washington,NA,WA,Pacific
14185,14185,14185,-122.779129,48.45504379,57,14241,washington,NA,WA,Pacific
14186,14186,14186,-122.8020477,48.45504379,57,14242,washington,NA,WA,Pacific
14187,14187,14187,-122.8192291,48.47795868,57,14243,washington,NA,WA,Pacific
14188,14188,14188,-122.8192291,48.52379608,57,14244,washington,NA,WA,Pacific
14189,14189,14189,-122.8364182,48.54098129,57,14245,washington,NA,WA,Pacific
14190,14190,14190,-122.8593369,48.51806641,57,14246,washington,NA,WA,Pacific
14191,14191,14191,-122.8593369,48.50087738,57,14247,washington,NA,WA,Pacific
14192,14192,14192,-122.8879852,48.49514771,57,14248,washington,NA,WA,Pacific
14193,14193,14193,-122.8879852,48.46076965,57,14249,washington,NA,WA,Pacific
14194,14194,14194,-122.8708038,48.44358063,57,14250,washington,NA,WA,Pacific
14195,14195,14195,-122.8364182,48.43212509,57,14251,washington,NA,WA,Pacific
14196,14196,14196,-122.8421555,48.41493607,57,14252,washington,NA,WA,Pacific
14197,14197,14197,-122.8249588,48.4034729,57,14253,washington,NA,WA,Pacific
14198,14198,14198,-122.767662,48.6097374,58,14255,washington,NA,WA,Pacific
14199,14199,14199,-122.7504807,48.63838959,58,14256,washington,NA,WA,Pacific
14200,14200,14200,-122.716095,48.6555748,58,14257,washington,NA,WA,Pacific
14201,14201,14201,-122.7275543,48.6784935,58,14258,washington,NA,WA,Pacific
14202,14202,14202,-122.767662,48.68422318,58,14259,washington,NA,WA,Pacific
14203,14203,14203,-122.8364182,48.71287155,58,14260,washington,NA,WA,Pacific
14204,14204,14204,-122.8822632,48.71860123,58,14261,washington,NA,WA,Pacific
14205,14205,14205,-122.8879852,48.6784935,58,14262,washington,NA,WA,Pacific
14206,14206,14206,-122.928093,48.66703415,58,14263,washington,NA,WA,Pacific
14207,14207,14207,-122.9510117,48.64411545,58,14264,washington,NA,WA,Pacific
14208,14208,14208,-122.9452896,48.59828186,58,14265,washington,NA,WA,Pacific
14209,14209,14209,-122.8994446,48.62119675,58,14266,washington,NA,WA,Pacific
14210,14210,14210,-122.8650665,48.59255219,58,14267,washington,NA,WA,Pacific
14211,14211,14211,-122.8249588,48.59255219,58,14268,washington,NA,WA,Pacific
14212,14212,14212,-122.8536148,48.63838959,58,14269,washington,NA,WA,Pacific
14213,14213,14213,-122.8650665,48.67276382,58,14270,washington,NA,WA,Pacific
14214,14214,14214,-122.8249588,48.66703415,58,14271,washington,NA,WA,Pacific
14215,14215,14215,-122.8020477,48.61547089,58,14272,washington,NA,WA,Pacific
14216,14216,14216,-122.767662,48.6097374,58,14273,washington,NA,WA,Pacific
14217,14217,14217,-122.6702652,48.1742897,59,14275,washington,NA,WA,Pacific
14218,14218,14218,-122.7103729,48.21439743,59,14276,washington,NA,WA,Pacific
14219,14219,14219,-122.7218323,48.23731613,59,14277,washington,NA,WA,Pacific
14220,14220,14220,-122.6702652,48.31180191,59,14278,washington,NA,WA,Pacific
14221,14221,14221,-122.6358795,48.3576355,59,14279,washington,NA,WA,Pacific
14222,14222,14222,-122.6186981,48.37482452,59,14280,washington,NA,WA,Pacific
14223,14223,14223,-122.549942,48.37482452,59,14281,washington,NA,WA,Pacific
14224,14224,14224,-122.549942,48.34617996,59,14282,washington,NA,WA,Pacific
14225,14225,14225,-122.5213013,48.34045029,59,14283,washington,NA,WA,Pacific
14226,14226,14226,-122.4926529,48.32899094,59,14284,washington,NA,WA,Pacific
14227,14227,14227,-122.4639969,48.28888321,59,14285,washington,NA,WA,Pacific
14228,14228,14228,-122.5098419,48.27742386,59,14286,washington,NA,WA,Pacific
14229,14229,14229,-122.549942,48.28315353,59,14287,washington,NA,WA,Pacific
14230,14230,14230,-122.5728683,48.26596451,59,14288,washington,NA,WA,Pacific
